rank,finalWorth,category,personName,age,country,source,industries,organization,selfMade,status,gender,date,gdp_country,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country
1,211000,Fashion & Retail,Bernard Arnault & family,74,France,LVMH,Fashion & Retail,LVMH Moët Hennessy Louis Vuitton,FALSE,U,M,4/4/2023 5:01,"$2,715,518,274,227",102.5,82.5,24.2,60.7,67059887
2,180000,Automotive,Elon Musk,51,United States,"Tesla, SpaceX",Automotive,Tesla,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
3,114000,Technology,Jeff Bezos,59,United States,Amazon,Technology,Amazon,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
4,107000,Technology,Larry Ellison,78,United States,Oracle,Technology,Oracle,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
5,106000,Finance & Investments,Warren Buffett,92,United States,Berkshire Hathaway,Finance & Investments,Berkshire Hathaway Inc. (Cl A),TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
6,104000,Technology,Bill Gates,67,United States,Microsoft,Technology,Bill & Melinda Gates Foundation,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
7,94500,Media & Entertainment,Michael Bloomberg,81,United States,Bloomberg LP,Media & Entertainment,Bloomberg,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
8,93000,Telecom,Carlos Slim Helu & family,83,Mexico,Telecom,Telecom,América Móvil,TRUE,U,M,4/4/2023 5:01,"$1,258,286,717,125",105.8,75,13.1,55.1,126014024
9,83400,Diversified,Mukesh Ambani,65,India,Diversified,Diversified,Reliance Industries,FALSE,D,M,4/4/2023 5:01,"$2,611,000,000,000",113,69.4,11.2,49.7,1366417754
10,80700,Technology,Steve Ballmer,67,United States,Microsoft,Technology,Los Angeles Clippers,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,69,France,L'Oréal,Fashion & Retail,,FALSE,U,F,4/4/2023 5:01,"$2,715,518,274,227",102.5,82.5,24.2,60.7,67059887
12,79200,Technology,Larry Page,50,United States,Google,Technology,Alphabet,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
13,77300,Fashion & Retail,Amancio Ortega,87,Spain,Zara,Fashion & Retail,,TRUE,U,M,4/4/2023 5:01,"$1,394,116,310,769",102.7,83.3,14.2,47,47076781
14,76000,Technology,Sergey Brin,49,United States,Google,Technology,Alphabet,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
15,68000,Food & Beverage,Zhong Shanshan,68,China,"Beverages, pharmaceuticals",Food & Beverage,,TRUE,U,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
16,64400,Technology,Mark Zuckerberg,38,United States,Facebook,Technology,Meta Platforms,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
17,59000,Diversified,Charles Koch & family,87,United States,Koch Industries,Diversified,"Koch Industries, Inc.",FALSE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
17,59000,Diversified,Julia Koch & family,60,United States,Koch Industries,Diversified,,FALSE,D,F,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
19,58800,Fashion & Retail,Jim Walton,74,United States,Walmart,Fashion & Retail,"Arvest Bank Group, Inc.",FALSE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
20,57600,Fashion & Retail,Rob Walton & family,78,United States,Walmart,Fashion & Retail,Walmart,FALSE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
21,56700,Fashion & Retail,Alice Walton,73,United States,Walmart,Fashion & Retail,Crystal Bridges Museum of American Art,FALSE,D,F,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
22,54400,Media & Entertainment,David Thomson & family,65,Canada,Media,Media & Entertainment,Thomson Reuters Corporation,FALSE,U,M,4/4/2023 5:01,"$1,736,425,629,520",100.9,81.9,12.8,24.5,36991981
23,50100,Technology,Michael Dell,58,United States,Dell Technologies,Technology,Dell Inc.,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
24,47200,Diversified,Gautam Adani,60,India,"Infrastructure, commodities",Diversified,,TRUE,D,M,4/4/2023 5:01,"$2,611,000,000,000",113,69.4,11.2,49.7,1366417754
25,45100,Fashion & Retail,Phil Knight & family,85,United States,Nike,Fashion & Retail,Nike,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
26,45000,Technology,Zhang Yiming,39,China,TikTok,Technology,ByteDance,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
27,42900,Fashion & Retail,Dieter Schwarz,83,Germany,Retail,Fashion & Retail,,FALSE,D,M,4/4/2023 5:01,"$3,845,630,030,824",104,80.9,11.5,48.8,83132799
28,40100,Fashion & Retail,François Pinault & family,86,France,Luxury goods,Fashion & Retail,,TRUE,D,M,4/4/2023 5:01,"$2,715,518,274,227",102.5,82.5,24.2,60.7,67059887
29,39100,Logistics,Klaus-Michael Kuehne,85,Switzerland,Shipping,Logistics,,FALSE,U,M,4/4/2023 5:01,"$703,082,435,360",105.2,83.6,10.1,28.8,8574832
30,38900,Food & Beverage,Giovanni Ferrero,58,Belgium,"Nutella, chocolates",Food & Beverage,,FALSE,U,M,4/4/2023 5:01,"$529,606,710,418",103.9,81.6,24,55.4,11484055
31,38300,Food & Beverage,Jacqueline Mars,83,United States,"Candy, pet food",Food & Beverage,,FALSE,U,F,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
31,38300,Food & Beverage,John Mars,87,United States,"Candy, pet food",Food & Beverage,,FALSE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
33,38000,Diversified,Li Ka-shing,94,Hong Kong,Diversified,Diversified,CK Hutchison Holdings,TRUE,U,M,4/4/2023 5:01,,,,,,
34,35300,Technology,Ma Huateng,51,China,Internet media,Technology,Tencent Holdings,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
35,35000,Gambling & Casinos,Miriam Adelson & family,77,United States,Casinos,Gambling & Casinos,,FALSE,U,F,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
