rank,finalWorth,category,personName,age,country,source,industries,selfMade,status,gender,date,gdp_country,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country
1,211000,fashion & retail,bernard arnault & family,74.0,france,lvmh,fashion & retail,False,U,M,2023-04-04 05:01:00,2715518274227,102.5,82.5,24.2,60.7,67059887.0
2,180000,automotive,elon musk,51.0,united states,"tesla, spacex",automotive,True,D,M,2023-04-04 05:01:00,21427700000000,101.8,78.5,9.6,36.6,328239523.0
3,114000,technology,jeff bezos,59.0,united states,amazon,technology,True,D,M,2023-04-04 05:01:00,21427700000000,101.8,78.5,9.6,36.6,328239523.0
4,107000,technology,larry ellison,78.0,united states,oracle,technology,True,U,M,2023-04-04 05:01:00,21427700000000,101.8,78.5,9.6,36.6,328239523.0
5,106000,finance & investments,warren buffett,92.0,united states,berkshire hathaway,finance & investments,True,D,M,2023-04-04 05:01:00,21427700000000,101.8,78.5,9.6,36.6,328239523.0
6,104000,technology,bill gates,67.0,united states,microsoft,technology,True,D,M,2023-04-04 05:01:00,21427700000000,101.8,78.5,9.6,36.6,328239523.0
7,94500,media & entertainment,michael bloomberg,81.0,united states,bloomberg lp,media & entertainment,True,U,M,2023-04-04 05:01:00,21427700000000,101.8,78.5,9.6,36.6,328239523.0
8,93000,telecom,carlos slim helu & family,83.0,mexico,telecom,telecom,True,U,M,2023-04-04 05:01:00,1258286717125,105.8,75.0,13.1,55.1,126014024.0
9,83400,diversified,mukesh ambani,65.0,india,diversified,diversified,False,D,M,2023-04-04 05:01:00,2611000000000,113.0,69.4,11.2,49.7,1366417754.0
10,80700,technology,steve ballmer,67.0,united states,microsoft,technology,True,D,M,2023-04-04 05:01:00,21427700000000,101.8,78.5,9.6,36.6,328239523.0
11,80500,fashion & retail,francoise bettencourt meyers & family,69.0,france,l'oréal,fashion & retail,False,U,F,2023-04-04 05:01:00,2715518274227,102.5,82.5,24.2,60.7,67059887.0
12,79200,technology,larry page,50.0,united states,google,technology,True,D,M,2023-04-04 05:01:00,21427700000000,101.8,78.5,9.6,36.6,328239523.0
13,77300,fashion & retail,amancio ortega,87.0,spain,zara,fashion & retail,True,U,M,2023-04-04 05:01:00,1394116310769,102.7,83.3,14.2,47.0,47076781.0
14,76000,technology,sergey brin,49.0,united states,google,technology,True,D,M,2023-04-04 05:01:00,21427700000000,101.8,78.5,9.6,36.6,328239523.0
